no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets
4,0,1,7300000,18300000,8,434,6700000,1,39700000
4,1,0,3300000,7000000,20,504,2500000,1,18700000
2,0,1,9200000,25300000,4,827,11000000,0,61100000
3,1,1,8100000,23300000,20,657,6200000,0,46700000
5,0,0,6600000,21400000,10,447,6400000,1,44000000
0,0,1,4200000,13600000,4,834,3100000,0,24100000
2,0,0,5800000,21700000,8,354,6800000,1,27000000
2,0,1,5600000,21000000,18,883,6000000,0,32300000
0,1,1,3600000,9900000,12,641,2700000,0,21800000
1,0,1,7700000,16900000,6,621,10200000,0,57900000
0,0,1,7800000,23300000,10,587,9700000,0,49300000
3,1,0,5700000,15400000,16,424,5600000,1,24100000
5,0,0,6300000,20500000,14,515,9100000,1,26200000
5,1,1,2300000,4700000,18,592,2800000,0,11700000
4,0,1,9600000,19900000,6,319,6600000,1,47800000
1,1,1,1000000,3900000,16,360,600000,1,4900000
5,0,1,7200000,27100000,12,535,4800000,1,49300000
2,1,1,3800000,11400000,16,666,3800000,0,19400000
4,1,1,9300000,24600000,16,419,5100000,1,44800000
2,1,1,7200000,21900000,12,640,3800000,0,26000000
0,0,0,7600000,19700000,12,545,7300000,1,39000000
4,0,0,4500000,15300000,10,843,2200000,0,30900000
1,1,1,9900000,30900000,20,559,12100000,0,56800000
0,1,1,700000,2000000,18,650,500000,0,4500000
0,0,0,3500000,12300000,16,479,4700000,1,23600000
1,0,1,300000,1000000,14,324,100000,1,1300000
5,1,1,5400000,16700000,2,354,5200000,0,24900000
4,1,1,2800000,8400000,10,521,3700000,1,11800000
5,1,1,4900000,15900000,8,505,6100000,1,32200000
4,1,0,600000,1700000,12,436,700000,1,2100000
0,0,0,3000000,8100000,6,683,3200000,0,18300000
0,0,0,1800000,5800000,18,348,1000000,1,10300000
4,0,1,5100000,15700000,6,867,3600000,0,38700000
5,0,0,1400000,4100000,14,880,2100000,0,8300000
2,0,1,6700000,25500000,10,673,5000000,0,44800000
3,1,0,4300000,12600000,18,482,6100000,1,23400000
3,0,1,7800000,19600000,4,767,7700000,0,49100000
3,1,0,5400000,15800000,18,760,7200000,0,31400000
0,1,0,500000,1900000,2,857,300000,0,3400000
1,0,0,8600000,26700000,10,735,11200000,0,41600000
3,0,0,2500000,9300000,4,810,3700000,0,15400000
4,1,0,3000000,7200000,2,680,1700000,0,13900000
5,1,1,7000000,26900000,4,889,7400000,0,28000000
1,1,1,400000,1500000,16,688,200000,0,1900000
5,1,0,5200000,13700000,16,531,2900000,1,29000000
3,0,0,3300000,11100000,2,660,4500000,0,22500000
1,1,1,2400000,8800000,18,414,2500000,1,12900000
4,0,1,5800000,15800000,14,528,8700000,1,27800000
4,1,1,9400000,20000000,12,817,8000000,0,39600000
2,1,0,6100000,15300000,2,799,5300000,0,30400000
1,0,1,7500000,21400000,20,655,8100000,0,51400000
2,1,0,4100000,16200000,6,546,3700000,1,21700000
3,1,0,8500000,30800000,14,745,7200000,0,38600000
0,0,0,4300000,16900000,8,884,3700000,0,23900000
5,1,0,9300000,22000000,4,822,12100000,0,55100000
4,1,0,6000000,18700000,2,623,5700000,0,27400000
1,1,1,5300000,18900000,16,361,5500000,1,17200000
5,1,1,7400000,16200000,2,778,9200000,0,39100000
1,1,1,1100000,3800000,8,779,1600000,0,6400000
1,0,1,6600000,20700000,4,594,8900000,0,31400000
3,0,0,8200000,28300000,2,530,12100000,0,45700000
3,1,0,3300000,9300000,12,324,2000000,1,15400000
4,0,1,2500000,9000000,10,394,3000000,1,16000000
3,0,1,3300000,10400000,12,816,4900000,0,25200000
5,1,0,1000000,2300000,16,423,1400000,1,5300000
5,0,1,6200000,12800000,2,539,4800000,1,37700000
1,0,0,7000000,21000000,20,554,5600000,0,38100000
2,0,1,7000000,19000000,6,523,9500000,1,40400000
1,1,1,5300000,12000000,10,852,5000000,0,29700000
0,1,1,1800000,3700000,2,505,1400000,1,10800000
0,0,1,2300000,7900000,10,430,1900000,1,17500000
2,0,0,4000000,9200000,16,784,4900000,0,16800000
1,1,0,8900000,24000000,6,380,7500000,1,51600000
3,0,0,8000000,18600000,20,565,9400000,0,32700000
4,0,1,7900000,26900000,14,446,8200000,1,41700000
5,0,1,6700000,20200000,8,406,7100000,1,27100000
4,1,0,2400000,6000000,6,712,1200000,0,15000000
4,1,0,8600000,22600000,14,729,11900000,0,37000000
1,1,1,5300000,14600000,20,508,4600000,1,31000000
0,0,0,7400000,24900000,20,648,6200000,0,38300000
0,1,1,8700000,18700000,10,346,8200000,1,33700000
5,0,0,8200000,18500000,4,394,11100000,1,42700000
0,1,1,3700000,9700000,12,501,4600000,1,18400000
5,1,1,9200000,36300000,2,655,8700000,0,36400000
4,1,0,6100000,20900000,4,662,4100000,0,40500000
2,0,1,8800000,30800000,20,820,12700000,0,31400000
5,1,0,9200000,18900000,10,521,6900000,1,46200000
3,0,0,7200000,27900000,12,473,8700000,1,57700000
1,0,0,600000,1200000,10,561,600000,0,2600000
5,0,0,8000000,23100000,20,461,7200000,1,37600000
4,0,1,6900000,13800000,16,715,8200000,0,29100000
0,1,1,4300000,15600000,18,440,4700000,1,17500000
3,1,1,8500000,24900000,18,749,10100000,0,42500000
4,1,0,8600000,17400000,2,787,10600000,0,40700000
3,0,0,6300000,13900000,18,748,8600000,0,48200000
3,1,1,5800000,13600000,12,321,3400000,1,27300000
3,0,1,1000000,2300000,10,303,1000000,1,3900000
0,1,1,1700000,5400000,8,682,2100000,0,7300000
2,1,0,3200000,8600000,18,638,3500000,0,14500000
0,0,1,7500000,16600000,14,440,10300000,1,55800000
1,1,1,2000000,6600000,10,873,2400000,0,7900000
3,1,0,9100000,19700000,20,437,12900000,1,43700000
4,0,1,8400000,19700000,8,796,7700000,0,47300000
4,0,0,7100000,27200000,16,824,3900000,0,32800000
2,1,0,200000,800000,6,338,100000,1,500000
0,1,1,5000000,14900000,12,575,6600000,0,26600000
0,1,1,4500000,16900000,8,773,6000000,0,27100000
2,1,1,5100000,19700000,2,733,6200000,0,17400000
3,0,1,4100000,10600000,14,475,4500000,1,23600000
1,1,0,7200000,15000000,10,677,4100000,0,39000000
3,1,0,7800000,17700000,6,403,10000000,1,41000000
3,0,1,7500000,25300000,12,767,9600000,0,43400000
3,0,1,6400000,21000000,2,813,4400000,0,35300000
4,0,0,7000000,25700000,20,597,10100000,0,60900000
4,1,1,9000000,31100000,8,896,13100000,0,34900000
2,1,1,4400000,13900000,6,810,5200000,0,32400000
2,1,0,900000,2000000,14,337,600000,1,3800000
1,0,0,9800000,26900000,18,792,11900000,0,55200000
4,1,0,600000,1600000,6,784,500000,0,2300000
5,0,1,9700000,30100000,12,434,6900000,1,58500000
2,0,1,8400000,32600000,10,384,7000000,1,37100000
1,0,0,8300000,24900000,10,642,5800000,0,48500000
4,0,0,7900000,29900000,8,314,8100000,1,52600000
1,1,0,8600000,25900000,2,606,12200000,0,51300000
5,1,1,6700000,17600000,14,843,5600000,0,32400000
0,0,0,2700000,7400000,10,778,2800000,0,13200000
0,1,0,6600000,25600000,8,718,9000000,0,46500000
1,0,1,7100000,20800000,20,437,8800000,1,41600000
5,0,1,300000,700000,10,586,100000,0,1400000
2,0,0,2200000,7000000,6,777,3300000,0,10900000
1,0,1,8700000,31700000,12,525,6100000,1,48300000
4,0,0,7200000,23100000,12,632,4400000,0,32500000
0,1,0,2000000,4800000,20,337,1700000,1,9000000
4,0,1,8600000,27900000,8,458,11700000,1,58200000
2,0,1,2300000,5400000,8,364,2000000,1,12000000
2,1,1,9600000,29800000,16,499,7400000,1,66600000
2,0,1,1900000,6500000,16,887,1700000,0,7700000
1,0,0,2100000,6300000,16,882,2900000,0,13800000
1,1,1,3900000,8700000,8,817,2100000,0,14100000
5,1,1,200000,300000,10,704,200000,0,1400000
1,1,1,1900000,4500000,12,742,1200000,0,7600000
0,1,1,3200000,11600000,4,393,3100000,0,13000000
0,1,0,1100000,4300000,18,828,900000,0,4400000
5,0,1,8000000,21500000,12,779,10400000,0,47500000
4,0,1,6100000,21700000,6,860,5600000,0,28900000
5,0,0,3200000,10600000,2,432,3700000,0,21400000
4,0,1,9000000,30400000,20,532,13100000,1,58900000
0,1,1,1200000,3200000,2,678,900000,0,5900000
3,0,0,7900000,27000000,6,601,11500000,0,53100000
3,0,1,7700000,23100000,8,807,7000000,0,33100000
2,1,0,4400000,16500000,16,879,5400000,0,25600000
1,1,0,3100000,11200000,18,665,2500000,0,19400000
5,1,1,2600000,9300000,16,697,3700000,0,14000000
4,0,0,5500000,21700000,14,867,3100000,0,28900000
1,0,0,5700000,15500000,8,544,7000000,1,40100000
5,0,0,6100000,20700000,20,482,5900000,1,28300000
2,0,0,8200000,22500000,18,857,8400000,0,56100000
1,0,0,6000000,21200000,12,549,6200000,1,43000000
1,0,1,8000000,30600000,10,720,9700000,0,57100000
4,1,0,2000000,4800000,8,302,2600000,1,6300000
5,0,1,1300000,2900000,12,669,1800000,0,6000000
1,0,0,7000000,27100000,6,591,4900000,0,40400000
3,0,0,4100000,15300000,6,440,2000000,1,20800000
3,0,0,8000000,26200000,16,890,4000000,0,45100000
4,1,0,8100000,28000000,8,663,5500000,0,46100000
4,0,1,9500000,22600000,14,433,13400000,1,34000000
0,0,0,9200000,22500000,10,317,10700000,1,60100000
2,0,0,3900000,14700000,16,360,2900000,1,11100000
1,0,0,9100000,26200000,8,727,8900000,0,55700000
3,0,1,3000000,8300000,4,685,3800000,0,19600000
4,0,0,2000000,4300000,8,373,2200000,1,12400000
5,0,0,6300000,14600000,8,469,3800000,1,47900000
3,1,1,4100000,10900000,8,548,4300000,1,27200000
0,1,0,9800000,29400000,20,618,8300000,0,49600000
2,0,0,5200000,15400000,8,658,3200000,0,21500000
3,0,0,7600000,28700000,18,781,8000000,0,63300000
3,1,0,9200000,35500000,2,715,11700000,0,42700000
5,1,0,2200000,8100000,4,409,2400000,1,5200000
2,1,1,8300000,20600000,10,504,6700000,1,34200000
3,0,1,6100000,21600000,16,428,7200000,1,24100000
2,0,0,4500000,16600000,20,704,2400000,0,27500000
3,1,0,6600000,18800000,12,834,4800000,0,41800000
4,1,0,8900000,34900000,14,694,9100000,0,38800000
4,0,1,3900000,13300000,20,453,4700000,1,22600000
3,0,1,8900000,35400000,14,404,5900000,1,56400000
5,1,0,6400000,22300000,12,776,5800000,0,33700000
1,1,1,9500000,28700000,16,526,6600000,1,61300000
3,0,1,300000,1000000,8,641,200000,0,2000000
5,1,0,4100000,12300000,6,582,3500000,0,31100000
2,0,0,8100000,20800000,18,778,10600000,0,36300000
4,0,0,9900000,28400000,10,763,5800000,0,72200000
0,1,0,4800000,19000000,12,650,4800000,0,23600000
0,0,1,2900000,9700000,2,820,3900000,0,17400000
1,1,1,3500000,13500000,12,824,4100000,0,23900000
1,1,1,4900000,12600000,4,718,3800000,0,30900000
2,1,1,5100000,13300000,14,313,3900000,1,31800000
5,0,0,7300000,26200000,10,751,10400000,0,40300000
0,0,1,200000,300000,18,520,100000,1,1000000
2,0,0,1400000,4700000,4,355,1400000,0,7100000
3,0,1,8700000,33600000,14,314,6200000,1,39400000
1,1,1,2800000,5900000,20,728,1400000,0,14500000
3,0,1,9100000,30100000,14,564,8200000,0,56600000
0,1,1,6800000,15300000,14,699,8300000,0,36400000
0,1,1,5000000,17000000,6,624,5900000,0,28300000
0,0,1,4400000,16800000,14,795,3400000,0,30000000
5,1,1,8400000,18600000,20,703,9500000,0,38400000
4,0,0,7800000,17300000,4,394,7200000,1,41000000
4,0,1,4800000,9900000,14,779,2900000,0,33100000
1,0,0,3200000,8800000,4,405,3400000,1,14300000
5,0,1,2300000,6700000,16,612,2000000,0,18800000
5,1,1,9200000,28100000,10,448,10700000,1,58800000
2,1,1,4700000,13700000,6,506,3500000,1,25900000
0,1,1,8000000,30400000,2,776,7800000,0,47100000
1,0,1,2600000,8600000,6,730,3100000,0,9700000
3,1,0,200000,800000,20,730,300000,0,700000
5,0,0,7300000,17200000,2,345,4900000,1,37700000
4,1,0,3300000,11800000,2,847,3000000,0,22300000
4,1,0,8300000,23300000,20,398,9900000,1,47100000
5,1,1,4100000,9600000,2,307,3100000,1,25100000
1,1,0,7300000,23700000,16,852,8500000,0,38800000
1,1,0,9300000,27500000,6,364,10800000,1,51300000
2,0,1,4300000,15200000,12,552,4800000,0,18200000
3,1,0,2600000,8100000,2,421,2500000,0,13500000
5,0,0,2900000,9800000,12,588,2900000,0,15000000
2,0,1,900000,3500000,6,763,600000,0,4600000
3,1,1,4900000,17500000,20,823,4800000,0,35600000
0,0,0,7700000,24800000,10,642,4500000,0,54900000
1,0,0,4700000,16800000,12,647,3400000,0,29300000
5,1,0,3000000,8900000,20,886,2800000,0,14200000
4,1,0,9700000,26200000,4,518,14000000,1,48700000
0,0,1,6900000,26800000,20,515,8300000,1,30000000
2,1,1,3800000,12400000,8,340,2600000,1,14100000
3,1,1,600000,1700000,14,521,600000,1,2700000
2,1,1,1200000,2900000,12,330,600000,1,5800000
4,1,1,7800000,26800000,2,474,5600000,0,38500000
0,1,0,9000000,35100000,6,898,9100000,0,37400000
1,1,0,2800000,9100000,12,436,3600000,1,11900000
1,1,0,7800000,21300000,10,326,4500000,1,52000000
4,0,1,4700000,9500000,18,876,4100000,0,36400000
2,0,0,4600000,17500000,20,597,4100000,0,31600000
4,0,0,5100000,16100000,14,436,6700000,1,27200000
3,1,1,6100000,22800000,18,640,6000000,0,43700000
0,1,0,6000000,22900000,16,302,7100000,1,36400000
2,1,0,8400000,23200000,16,476,8600000,1,39300000
2,0,0,9300000,22000000,14,393,13900000,1,36500000
0,0,0,4200000,10300000,10,506,6000000,1,26200000
3,0,0,9600000,37800000,10,418,11300000,1,47100000
3,0,0,5600000,13400000,6,865,6000000,0,36900000
4,0,0,7800000,28600000,2,703,10500000,0,42400000
2,0,1,4500000,12600000,2,568,2900000,0,28600000
3,0,0,2400000,5900000,2,425,2500000,1,9000000
0,1,0,3900000,11300000,12,305,2100000,1,19700000
5,0,1,9600000,20600000,6,456,11600000,1,50000000
4,1,0,900000,2600000,2,602,1000000,0,4600000
3,0,1,1100000,3800000,20,814,1100000,0,6100000
4,1,0,6400000,24900000,2,640,6300000,0,34400000
2,0,0,4600000,15000000,4,817,6600000,0,22600000
4,0,0,7600000,29800000,20,361,5900000,1,34900000
5,1,0,6800000,20100000,14,839,7500000,0,18100000
5,0,0,7100000,27000000,20,592,7600000,0,34900000
4,1,1,6700000,24700000,6,498,8400000,1,32400000
5,1,1,5800000,12400000,6,847,7600000,0,28200000
0,0,1,8600000,29400000,16,643,12300000,0,48100000
0,0,1,3500000,10600000,4,389,2500000,0,22200000
2,0,1,4800000,17500000,20,381,7000000,1,20700000
5,0,1,6100000,14400000,16,400,5600000,1,35800000
5,0,1,5200000,12700000,16,718,7200000,0,29900000
5,1,1,4100000,12400000,8,309,3300000,1,22200000
5,1,0,3200000,7400000,2,838,3600000,0,15300000
3,1,1,7500000,21600000,14,678,11200000,0,41000000
2,1,1,1500000,4500000,14,826,1600000,0,9500000
4,0,1,1200000,3100000,16,348,1700000,1,6900000
1,0,1,8400000,19700000,6,476,12100000,1,73000000
0,1,1,7900000,26300000,8,666,11800000,0,32200000
1,0,1,2100000,4300000,20,896,2300000,0,9900000
2,0,0,2500000,7000000,20,547,2300000,1,7200000
2,1,1,3700000,13900000,2,405,5500000,0,18200000
5,0,0,1100000,4000000,16,498,700000,1,2800000
5,0,0,6500000,24800000,8,779,8800000,0,32300000
0,1,1,8200000,31500000,8,403,6100000,1,39300000
2,1,0,5000000,12400000,8,709,4200000,0,31400000
1,1,0,1500000,6000000,6,507,1900000,1,10100000
5,1,0,3700000,9100000,18,368,3300000,1,14200000
3,0,1,4100000,14600000,16,760,3000000,0,26200000
2,1,0,7200000,16800000,6,796,9800000,0,27100000
1,0,0,2000000,5000000,6,876,1500000,0,9200000
3,1,0,2000000,4700000,14,673,1500000,0,10100000
1,0,1,5100000,11500000,4,747,7000000,0,28000000
1,1,0,6000000,13600000,12,589,7100000,0,21900000
1,0,0,4900000,18100000,8,382,2400000,1,29500000
3,1,1,900000,2300000,12,900,1100000,0,4600000
1,0,1,7500000,25000000,18,628,4700000,0,27400000
2,0,0,6400000,25000000,12,667,5400000,0,44500000
2,0,1,8700000,26400000,2,778,10300000,0,39700000
4,0,1,7300000,17200000,18,831,5200000,0,45800000
5,0,0,7400000,27100000,4,320,9400000,0,59600000
2,0,0,2700000,9300000,16,656,3600000,0,16600000
3,0,0,3400000,8900000,6,896,4200000,0,19200000
3,1,1,2100000,7400000,4,320,2200000,0,12300000
2,1,0,3100000,10500000,10,751,1600000,0,20400000
5,1,0,4700000,17400000,2,523,5200000,0,28500000
5,0,0,3100000,10500000,6,584,2900000,0,20700000
2,1,0,5700000,20400000,2,630,2900000,0,28700000
3,0,1,2300000,8000000,14,472,1800000,1,15400000
0,1,1,6600000,18500000,16,802,9700000,0,37500000
2,0,1,2700000,6400000,18,547,1700000,1,15900000
1,1,1,800000,2800000,16,726,1200000,0,6400000
1,0,0,6600000,18500000,8,712,7600000,0,29900000
3,0,0,3900000,10700000,6,790,2700000,0,25000000
5,1,0,200000,600000,16,396,200000,1,500000
3,0,0,2000000,4200000,6,831,1200000,0,9900000
2,0,1,9100000,20900000,20,632,13200000,0,34600000
3,0,0,4700000,10800000,8,527,4800000,1,30000000
3,1,1,3200000,11100000,6,708,1500000,0,22700000
2,1,0,1700000,4200000,14,829,1600000,0,6400000
1,1,0,2600000,8100000,12,854,2500000,0,15900000
3,1,1,2700000,6700000,14,899,2000000,0,12600000
0,1,1,3600000,13400000,6,589,4000000,0,14800000
4,0,1,7200000,26000000,6,571,4200000,0,27300000
2,1,1,2500000,6400000,6,708,3500000,0,17000000
2,1,0,5500000,19600000,16,328,3700000,1,18100000
3,0,1,9200000,33500000,8,564,11400000,0,65800000
3,1,0,9000000,19000000,8,693,7200000,0,52400000
4,1,1,5900000,15000000,14,626,8200000,0,38600000
4,0,0,5600000,15600000,12,470,7000000,1,35200000
2,1,1,3200000,12500000,8,849,4400000,0,16100000
5,1,0,9100000,27800000,16,547,9400000,1,60800000
0,1,1,4600000,15100000,2,417,6600000,0,21300000
4,0,0,7300000,14900000,2,358,7300000,1,46300000
5,1,1,1300000,3100000,16,826,1400000,0,7000000
0,1,0,1800000,4200000,6,836,2000000,0,10000000
3,0,0,500000,1700000,10,509,300000,1,2100000
2,1,1,5700000,20500000,20,581,8500000,0,34400000
4,0,0,300000,1100000,4,359,200000,0,1100000
5,0,1,2100000,7100000,10,517,1400000,1,9500000
1,1,1,5700000,20100000,14,442,6500000,1,36900000
1,1,1,1100000,2700000,16,346,800000,1,4400000
5,0,0,9300000,34000000,6,742,8200000,0,37600000
1,0,1,3500000,8100000,10,626,2900000,0,19800000
0,1,1,8200000,28800000,4,619,6300000,0,33100000
2,1,1,7500000,17900000,20,734,4900000,0,37600000
1,0,1,7000000,25600000,6,420,8700000,1,41900000
5,1,1,3900000,8300000,18,600,5600000,0,14900000
3,0,1,4700000,13200000,12,440,4300000,1,23900000
5,1,1,1700000,5200000,16,820,1000000,0,6900000
0,0,0,2500000,7800000,8,437,3300000,1,11600000
1,1,1,400000,1400000,12,468,400000,1,2200000
0,1,1,2400000,9100000,8,368,3300000,1,8000000
4,0,0,5700000,21900000,2,871,6100000,0,19300000
1,0,0,9800000,37900000,4,816,8500000,0,60100000
5,0,0,9000000,32800000,4,773,11500000,0,33600000
3,1,0,800000,3000000,14,576,400000,0,5100000
1,0,0,1600000,4500000,14,673,1300000,0,8300000
0,0,1,9800000,34100000,20,760,13600000,0,64300000
5,1,1,2900000,7500000,12,678,3700000,0,17300000
4,1,1,3900000,12000000,14,893,5200000,0,23600000
0,0,1,3300000,9000000,18,754,4700000,0,16900000
3,0,1,700000,2200000,8,617,900000,0,4400000
3,1,1,8400000,29500000,20,661,10900000,0,46900000
1,0,1,4000000,12100000,12,356,5000000,1,28600000
0,1,1,1900000,6300000,16,811,1900000,0,6300000
0,1,0,3900000,14600000,2,730,5400000,0,27800000
5,1,0,7400000,18000000,2,792,5300000,0,34600000
5,1,1,5900000,16000000,6,798,3100000,0,33200000
2,1,0,1400000,2900000,12,490,1300000,1,7700000
2,0,1,1800000,5500000,6,448,1300000,1,8800000
0,0,1,1000000,3100000,6,525,1400000,1,6400000
1,0,0,7400000,19200000,20,415,7000000,1,36200000
5,0,0,2700000,10600000,16,496,2400000,1,13400000
1,1,1,3600000,13100000,8,543,2700000,1,12900000
5,0,0,7000000,18400000,12,520,3800000,1,33600000
4,1,1,5000000,18000000,14,307,3300000,1,23700000
2,0,0,1800000,5700000,14,502,1300000,1,6900000
2,0,1,4700000,12000000,6,505,2300000,1,25200000
2,1,1,6700000,23100000,4,304,10000000,0,45800000
5,1,0,5800000,17500000,10,719,3100000,0,20100000
0,0,1,5900000,22700000,18,855,4000000,0,34200000
4,1,0,6000000,15800000,18,593,6400000,0,24800000
1,1,1,700000,1400000,10,523,900000,1,3400000
0,1,1,3700000,13100000,14,385,4900000,1,26600000
0,0,1,7100000,19300000,6,783,5000000,0,30500000
5,0,1,1100000,3900000,2,538,1600000,0,6000000
3,1,1,9500000,20100000,2,506,11000000,1,50300000
4,1,1,2200000,8600000,2,461,2100000,0,9100000
4,1,1,5500000,20000000,8,666,7900000,0,26500000
3,1,1,4400000,16300000,20,561,4000000,0,25500000
5,1,0,5000000,10800000,10,345,6300000,1,31400000
4,1,1,6100000,12500000,14,862,6800000,0,34700000
3,1,0,8100000,22300000,10,686,6200000,0,48300000
4,0,1,7000000,19600000,8,708,4500000,0,44500000
4,1,0,5600000,14800000,20,656,6500000,0,30400000
4,0,0,1800000,7000000,14,743,1500000,0,8100000
2,0,0,3600000,12100000,14,408,5400000,1,27300000
5,0,0,600000,1300000,14,408,900000,1,2900000
1,0,1,4900000,16500000,12,439,7200000,1,19200000
3,0,1,3000000,7100000,6,415,2500000,1,17200000
0,1,1,3800000,10600000,12,490,3100000,1,24200000
1,0,1,7600000,30000000,16,884,10800000,0,34100000
4,0,0,7800000,25400000,18,425,7200000,1,47500000
0,0,0,6800000,21700000,20,730,3600000,0,37400000
4,0,1,5900000,17300000,20,657,4100000,0,20100000
2,1,0,4900000,16800000,10,480,2700000,1,23700000
3,1,1,1100000,3100000,16,356,1600000,1,4400000
1,1,1,9800000,36000000,12,629,11200000,0,61900000
1,0,1,1200000,4700000,2,667,800000,0,5600000
0,1,0,4700000,11500000,18,559,2600000,0,26200000
4,0,0,6700000,16000000,4,791,5200000,0,33700000
0,1,1,3700000,11300000,6,538,5400000,1,17000000
2,0,0,7400000,16000000,20,358,4300000,1,49000000
2,1,0,3300000,11700000,14,439,1700000,1,18600000
2,0,1,4800000,15300000,12,503,4300000,1,19300000
4,0,1,4600000,11900000,6,810,5200000,0,36900000
1,0,1,8000000,30600000,14,302,6800000,1,49700000
0,1,0,4100000,8800000,18,300,3500000,1,25900000
4,1,0,2600000,7200000,16,612,1400000,0,8100000
3,1,0,1300000,5000000,6,686,900000,0,8800000
0,0,1,2300000,4900000,12,409,3200000,1,10400000
5,0,0,300000,900000,6,492,400000,1,1800000
0,0,1,7000000,21700000,20,498,3900000,1,26800000
3,1,1,4400000,10900000,18,611,3000000,0,23700000
5,1,1,5100000,11800000,6,776,4400000,0,18500000
1,1,0,5900000,13000000,6,779,6600000,0,35500000
3,0,1,7800000,27200000,16,560,8600000,0,33500000
4,0,1,2200000,5100000,6,308,3100000,1,12400000
4,1,0,5400000,12600000,18,786,6600000,0,23800000
1,1,0,7400000,29100000,8,597,7000000,0,33200000
4,0,0,5800000,12000000,12,811,3100000,0,32400000
1,0,1,5800000,13000000,12,862,3900000,0,31700000
3,1,1,4800000,14200000,12,369,3000000,1,17400000
1,1,1,7400000,23900000,4,687,5600000,0,57800000
0,1,1,9600000,19600000,12,500,10900000,1,59800000
2,1,1,200000,500000,6,746,0,0,900000
4,1,0,700000,2100000,14,619,1000000,0,5000000
2,1,0,7600000,16700000,20,692,7400000,0,44600000
1,1,1,1400000,3300000,18,321,700000,1,5400000
2,1,1,3800000,15000000,14,730,3600000,0,24400000
3,1,0,2700000,10800000,6,480,3500000,1,14700000
2,1,1,5000000,10700000,2,753,5700000,0,33100000
4,0,1,9000000,28900000,6,637,4800000,0,45500000
3,0,0,3700000,9000000,6,483,3600000,1,19600000
4,1,1,300000,1100000,4,315,100000,0,1700000
4,0,0,1800000,4100000,8,777,1900000,0,8300000
2,0,0,7900000,17700000,4,402,8400000,1,58300000
4,0,1,2100000,7700000,8,493,1300000,1,9100000
0,0,1,900000,3100000,4,355,500000,0,4800000
3,0,0,9900000,23600000,18,557,9100000,0,49900000
0,1,1,5600000,20000000,20,606,7600000,0,27600000
1,1,1,6000000,12200000,16,743,2900000,0,32000000
5,1,0,5700000,18400000,4,579,4900000,0,34000000
0,0,1,9000000,33100000,20,734,10300000,0,34000000
0,0,0,7300000,16100000,2,490,10700000,1,30800000
5,0,0,5300000,20500000,16,802,4100000,0,39400000
1,1,1,3500000,7400000,16,867,2100000,0,16600000
0,1,0,1000000,2200000,12,302,1400000,1,6300000
0,1,0,5100000,19900000,12,867,5700000,0,27200000
0,0,1,2900000,9900000,8,312,3700000,1,17500000
3,1,0,7600000,19100000,14,762,7300000,0,53300000
5,1,1,6000000,14700000,18,462,3500000,1,38900000
1,0,0,6300000,18200000,18,849,5200000,0,25600000
3,1,0,1900000,7400000,18,592,1800000,0,11300000
4,0,0,600000,1400000,4,507,400000,1,2200000
2,1,1,4100000,11400000,14,505,5500000,1,25700000
0,1,1,800000,3200000,8,467,800000,1,4400000
2,1,0,6600000,22900000,16,543,8500000,1,39800000
4,0,1,300000,1100000,12,674,200000,0,1400000
3,0,0,6100000,13500000,2,717,3400000,0,36000000
5,1,1,4800000,17000000,10,666,2900000,0,24600000
4,1,0,4500000,17300000,18,830,2500000,0,16400000
2,0,0,3800000,9400000,16,383,2300000,1,18000000
2,0,1,7000000,18900000,8,584,5000000,0,47200000
2,1,0,4400000,14200000,18,799,2400000,0,24900000
5,0,0,5300000,19400000,6,510,3700000,1,35300000
0,1,1,2600000,5900000,6,572,3800000,0,16200000
3,1,0,3300000,13100000,2,554,3800000,0,15200000
1,1,1,1200000,4800000,6,344,1300000,1,7800000
3,0,0,4300000,8600000,8,881,5500000,0,29300000
0,1,1,8400000,27200000,10,514,7200000,1,29000000
0,0,0,600000,1800000,18,796,500000,0,2900000
2,0,1,4700000,16200000,12,802,6700000,0,22500000
3,0,0,4200000,12500000,20,375,2400000,1,17300000
2,0,0,4300000,14700000,2,871,4400000,0,25300000
0,1,0,800000,2900000,2,439,1200000,0,3700000
0,1,1,9300000,32000000,8,438,12400000,1,66100000
5,1,0,6200000,13700000,2,468,5500000,1,29500000
3,0,1,3500000,10200000,12,645,2400000,0,26100000
2,0,1,3600000,9200000,18,700,3500000,0,16900000
5,0,1,9500000,36700000,16,348,11400000,1,37300000
5,0,1,600000,1400000,10,877,700000,0,3800000
0,1,1,3800000,14900000,6,899,2800000,0,20800000
3,0,1,1400000,3500000,12,610,1400000,0,5600000
1,1,0,6300000,23900000,4,742,4300000,0,30400000
1,1,1,2800000,6600000,18,801,3700000,0,16000000
4,0,1,5400000,17100000,2,533,4700000,0,31100000
3,1,1,6300000,23900000,16,656,5100000,0,37200000
3,0,1,3900000,14300000,18,785,4900000,0,32400000
2,0,1,4200000,15700000,2,332,3000000,0,21000000
0,0,0,3100000,8100000,18,768,2400000,0,13600000
1,0,0,3400000,8600000,6,640,4400000,0,16500000
4,1,0,1500000,3100000,6,885,1900000,0,6700000
3,1,1,900000,2000000,18,772,800000,0,6500000
4,0,1,7800000,25600000,4,665,8200000,0,30600000
